Trt*;DAP;Yield;LAI;FSolar;Biomass
1;20;;0.095;0.055405931;64.75
1;32;;0.25;0.139292024;190.7
1;42;;0.863;0.404170067;453
1;52;;2.382;0.760499554;1300
1;62;;3.47;0.875319399;2713
1;72;;4.95;0.94869669;4448
1;82;;4.307;0.924543579;6367
1;92;;4.687;0.939927313;8998
1;101;;3.612;0.885502238;9992
1;111;;4.06;0.912489807;14697
1;119;;3.85;0.900738748;17172
1;129;;1.785;0.65733432;18469
1;139;8236;0.023;0.013705217;16818
2;20;;0.085;0.049721329;66.5
2;32;;0.228;0.127855362;179
2;42;;0.828;0.391525333;416.7
2;52;;2.265;0.743082434;1373
2;62;;4.147;0.916940661;3273
2;72;;5.472;0.962491961;5225
2;82;;4.94;0.948387944;7081
2;92;;5.187;0.955497059;11219
2;101;;3.6;0.884674879;12195
2;111;;4.055;0.912226882;16033
2;119;;4.007;0.909662263;19913
2;129;;1.377;0.562290574;21218
2;139;8975;0.01;0.005982036;16115
